id,title,source_type,source_role,canonical_url,canonical_path,notes,status
N41,Post-Incident Learning Architecture,Primary source,Mechanism,https://www.nieleze.com/applied-architecture/post-incident-learning-architecture,/applied-architecture/post-incident-learning-architecture,"Primary source for post-incident learning and feedback architecture.",active
N42,Structural Dependence on Expertise,Primary source,Structural concept,https://www.nieleze.com/applied-architecture/structural-dependence-on-expertise,/applied-architecture/structural-dependence-on-expertise,"Primary source for structural dependence on expertise.",active
N43,Adaptive Learning Loops,Primary source,Interpretation and learning,https://www.nieleze.com/interpretation-layer/adaptive-learning-loops,/interpretation-layer/adaptive-learning-loops,"Primary source for adaptive learning loops.",active
N44,Feedback Amplification Dynamics,Primary source,Mechanism,https://www.nieleze.com/interpretation-layer/feedback-amplification-dynamics,/interpretation-layer/feedback-amplification-dynamics,"Primary source for feedback amplification dynamics.",active
N45,Ambiguity Resolution Deflection Absorption,Primary source,Organizational sensing,https://www.nieleze.com/organizational-sensing/ambiguity-resolution-deflection-absorption,/organizational-sensing/ambiguity-resolution-deflection-absorption,"Primary source for ambiguity resolution, deflection, and absorption dynamics.",active
N46,Interpretability as Oversight Infrastructure,Primary source,Interpretation and oversight,https://www.nieleze.com/interpretation-layer/interpretability-as-oversight-infrastructure,/interpretation-layer/interpretability-as-oversight-infrastructure,"Primary source for interpretability as an oversight infrastructure.",active
N47,Adaptive Governance Under Automation,Primary source,Governance and automation,https://www.nieleze.com/interpretation-layer/adaptive-governance-under-automation,/interpretation-layer/adaptive-governance-under-automation,"Primary source for adaptive governance under automation.",active
N48,Oversight Drift in Automated Systems,Primary source,Human-machine oversight,https://www.nieleze.com/interpretation-layer/oversight-drift-in-automated-systems,/interpretation-layer/oversight-drift-in-automated-systems,"Primary source for oversight drift in automated systems.",active
N49,Cognitive Load and Interpretive Capacity,Primary source,Interpretation,https://www.nieleze.com/interpretation-layer/cognitive-load-and-interpretive-capacity,/interpretation-layer/cognitive-load-and-interpretive-capacity,"Primary source for cognitive load and interpretive capacity.",active
N50,Structural Risk Mapping,Primary source,Cross-sector intelligence,https://www.nieleze.com/cross-sector-intelligence/structural-risk-mapping,/cross-sector-intelligence/structural-risk-mapping,"Primary source for structural risk mapping.",active
N51,When Systems Learn but Do Not Adapt,Primary source,Cross-sector intelligence,https://www.nieleze.com/cross-sector-intelligence/when-systems-learn-but-do-not-adapt,/cross-sector-intelligence/when-systems-learn-but-do-not-adapt,"Primary source for the distinction between learning and adaptation.",active
N52,Barrier Degradation and Shrinking Intervention Space,Primary source,Cross-sector intelligence,https://www.nieleze.com/cross-sector-intelligence/barrier-degradation-and-shrinking-intervention-space,/cross-sector-intelligence/barrier-degradation-and-shrinking-intervention-space,"Primary source connecting barrier degradation with shrinking intervention space.",active
N53,Early Warning Signals Systemic Risk,Primary source,Strategic foresight,https://www.nieleze.com/strategic-foresight/early-warning-signals-systemic-risk,/strategic-foresight/early-warning-signals-systemic-risk,"Primary source for early warning signals and systemic risk.",active
N54,Interpretability Under Pressure,Primary source,Interpretation layer,https://www.nieleze.com/interpretation-layer/interpretability-under-pressure,/interpretation-layer/interpretability-under-pressure,"Canonical interpretation-layer source for interpretability under pressure.",active
N55,Operational Coherence Under Stress,Primary source,Cross-sector intelligence,https://www.nieleze.com/cross-sector-intelligence/operational-coherence-under-stress,/cross-sector-intelligence/operational-coherence-under-stress,"Primary source for operational coherence under stress.",active
N56,Compliance-Reality Divergence,Primary source,Cross-sector intelligence,https://www.nieleze.com/cross-sector-intelligence/compliance-reality-divergence,/cross-sector-intelligence/compliance-reality-divergence,"Primary source for compliance-reality divergence.",active
N57,Second-Order Effects,Primary source,Cross-sector intelligence,https://www.nieleze.com/cross-sector-intelligence/second-order-effects,/cross-sector-intelligence/second-order-effects,"Primary source for second-order effects across systems.",active
N58,Human Constraint Architecture,Primary source,Cross-sector intelligence,https://www.nieleze.com/cross-sector-intelligence/human-constraint-architecture,/cross-sector-intelligence/human-constraint-architecture,"Primary source for human constraint architecture.",active
N59,Regulatory Fragmentation,Primary source,Cross-sector intelligence,https://www.nieleze.com/cross-sector-intelligence/regulatory-fragmentation,/cross-sector-intelligence/regulatory-fragmentation,"Primary source for regulatory fragmentation.",active
N60,Escalation Without Visibility Loss,Primary source,Cross-sector intelligence,https://www.nieleze.com/cross-sector-intelligence/escalation-without-visibility-loss,/cross-sector-intelligence/escalation-without-visibility-loss,"Primary source for escalation with preserved visibility.",active
N61,When Expertise Becomes Infrastructure,Primary source,Cross-sector intelligence,https://www.nieleze.com/cross-sector-intelligence/when-expertise-becomes-infrastructure,/cross-sector-intelligence/when-expertise-becomes-infrastructure,"Primary source for expertise as organizational infrastructure.",active
N62,Structural Dependence on Expertise,Primary source,Applied architecture,https://www.nieleze.com/applied-architecture/structural-dependence-on-expertise,/applied-architecture/structural-dependence-on-expertise,"Primary source for dependence on expertise as a structural condition.",active
N63,Human-Machine Trust Calibration,Primary source,Human-machine oversight,https://www.nieleze.com/human-machine-trust-calibration,/human-machine-trust-calibration,"Canonical source for human-machine trust calibration.",active
N64,Structural Intelligence,Primary source,Architecture,https://www.nieleze.com/structural-intelligence,/structural-intelligence,"Primary source for the broader structural intelligence framing.",active
